time;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
0001616806;5.9185;-16.0148;2.3343;0.0021;-0.0424;-0.0137
0001616814;5.9568;-15.9047;2.4110;0.0012;-0.0392;-0.0147
0001616821;6.1148;-15.8113;2.3200;-0.0009;-0.0368;-0.0167
0001616829;6.0837;-15.7706;2.3487;-0.0011;-0.0401;-0.0147
0001616896;6.0789;-15.9238;2.3750;-0.0113;-0.0280;-0.0188
0001616904;5.9137;-15.8209;2.4780;-0.0183;-0.0245;-0.0127
0001616916;6.1052;-15.8281;2.3583;-0.0237;-0.0249;-0.0290
0001616924;5.8945;-15.9071;2.3559;-0.0224;-0.0273;-0.0276
0001616935;5.9640;-15.9669;2.3894;-0.0297;-0.0188;-0.0252
0001616943;5.9089;-15.8592;2.4205;-0.0301;-0.0225;-0.0276
0001616951;5.9831;-15.8688;2.3607;-0.0333;-0.0245;-0.0180
0001616963;6.0238;-15.8472;2.2984;-0.0332;-0.0286;-0.0241
0001616971;5.9400;-15.8760;2.3367;-0.0324;-0.0333;-0.0254
0001616982;5.7724;-15.9957;2.2745;-0.0418;-0.0313;-0.0257
0001616990;6.1531;-15.8400;2.3655;-0.0409;-0.0273;-0.0257
0001617002;5.8921;-15.9885;2.2817;-0.0474;-0.0195;-0.0161
0001617010;6.1052;-15.8424;2.2338;-0.0492;-0.0195;-0.0113
0001617021;6.2010;-15.8185;2.2745;-0.0508;-0.0160;-0.0085
0001617029;5.9879;-16.0172;2.3511;-0.0530;-0.0160;-0.0131
0001617041;6.0358;-15.7826;2.3750;-0.0616;-0.0089;-0.0073
0001617049;5.9783;-15.9406;2.4181;-0.0596;-0.0076;-0.0159
0001617060;5.8371;-15.9909;2.4062;-0.0695;0.0080;-0.0171
0001617068;6.1555;-15.7562;2.4972;-0.0734;0.0209;-0.0184
0001617076;6.2465;-15.6916;2.4924;-0.0843;0.0434;-0.0211
0001617088;6.4572;-15.7634;2.5594;-0.0991;0.0738;-0.0225
0001617096;6.5362;-15.7347;2.6193;-0.1140;0.1011;-0.0301
0001617164;6.3997;-15.9837;2.6983;-0.0905;0.2629;-0.0822
0001617172;6.1316;-16.2399;2.6193;-0.0746;0.2659;-0.0853
0001617184;6.1890;-16.1561;2.4852;-0.0512;0.2727;-0.0915
0001617192;5.9999;-16.2638;2.5355;-0.0326;0.2782;-0.0901
0001617203;5.9233;-16.3093;2.5474;-0.0083;0.2735;-0.0991
0001617211;5.8155;-16.3620;2.5211;0.0036;0.2727;-0.0957
0001617219;5.8347;-16.2423;2.5738;0.0257;0.2710;-0.0973
0001617231;5.7437;-16.2494;2.5929;0.0606;0.2593;-0.0974
0001617239;5.8347;-16.1417;2.6552;0.0841;0.2557;-0.1027
0001617250;5.7964;-16.1800;2.5929;0.1002;0.2459;-0.1046
0001617258;5.9400;-16.0196;2.6839;0.1135;0.2342;-0.1071
0001617270;5.9831;-15.8376;2.6695;0.1210;0.2324;-0.0961
0001617278;6.0717;-15.8041;2.5905;0.1280;0.2304;-0.0906
0001617289;6.0023;-15.7251;2.6384;0.1299;0.2321;-0.0765
0001617297;6.0214;-15.8305;2.7174;0.1291;0.2330;-0.0682
0001617309;6.0118;-15.9190;2.5307;0.1226;0.2246;-0.0690
0001617317;5.8969;-15.9167;2.5379;0.1327;0.2114;-0.0753
0001617325;5.7174;-16.0795;2.6624;0.1339;0.2092;-0.0761
0001617336;5.6862;-16.2638;2.7653;0.1511;0.1820;-0.0855
0001617344;5.7054;-16.2375;2.7677;0.1625;0.1688;-0.0861
0001617356;5.5665;-16.4553;2.7054;0.2070;0.1346;-0.0957
0001617364;5.5857;-16.3811;2.7438;0.2318;0.1222;-0.0943
0001617432;5.5785;-15.7922;3.1939;0.4449;0.0285;-0.0321
0001617440;5.5952;-15.8903;3.1843;0.4423;0.0276;-0.0244
0001617452;5.7557;-15.7730;3.0191;0.4533;0.0221;-0.0120
0001617460;5.6527;-16.0412;2.8539;0.4615;0.0228;-0.0076
0001617468;5.8969;-16.0459;2.9209;0.4864;0.0167;-0.0080
0001617479;6.0501;-16.3404;2.8036;0.5139;0.0269;0.0115
0001617487;6.1076;-16.5990;2.8012;0.5541;0.0216;0.0111
0001617499;5.8419;-16.8983;2.9832;0.6339;0.0143;0.0071
0001617507;5.6743;-17.0539;2.9377;0.7056;0.0061;0.0009
0001617518;5.5498;-16.8672;3.0191;0.7903;-0.0112;-0.0025
0001617526;5.3941;-16.7283;2.8898;0.8424;-0.0226;-0.0203
0001617538;5.5785;-16.2087;2.7174;0.8909;-0.0373;-0.0240
0001617546;5.5354;-15.8903;2.7031;0.8917;-0.0338;-0.0240
0001617554;5.6575;-15.3444;2.6719;0.8689;-0.0370;-0.0382
0001617565;5.8466;-14.8081;2.6169;0.8342;-0.0300;-0.0318
0001617573;5.9687;-14.4945;2.6336;0.7641;-0.0161;-0.0248
0001617585;5.9233;-14.4634;2.5546;0.6634;0.0031;-0.0256
0001617593;6.0023;-14.3556;2.5666;0.5987;0.0288;-0.0089
0001617604;6.2130;-14.4203;2.4948;0.5036;0.0710;0.0056
0001617612;6.2944;-14.4634;2.4660;0.4422;0.0993;0.0008
0001617624;6.3327;-14.8895;2.6791;0.3800;0.1186;-0.0218
0001617632;6.1723;-15.2654;2.6552;0.3464;0.1378;-0.0289
0001617640;5.9927;-15.7203;2.7078;0.3332;0.1359;-0.0428
0001617708;5.9185;-16.4051;3.0167;0.4398;0.1511;-0.0917
0001617716;6.3782;-16.2806;3.0430;0.4451;0.1713;-0.1075
0001617728;6.7133;-16.0938;3.1891;0.4551;0.2245;-0.1316
0001617736;6.9791;-15.7036;3.3758;0.4511;0.2759;-0.1290
0001617747;7.1156;-15.1936;3.4309;0.4315;0.3480;-0.1464
0001617755;7.1467;-15.0021;3.5961;0.4058;0.4108;-0.1518
0001617767;7.4484;-14.4490;3.7876;0.3443;0.5208;-0.1696
0001617775;7.3741;-14.2263;3.8116;0.2862;0.5997;-0.1815
0001617783;7.2257;-14.2790;3.8379;0.2483;0.6566;-0.2164
0001617794;7.3239;-14.1617;4.0438;0.1781;0.7489;-0.2515
