time;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
0001143801;5.8012;-15.9454;2.1261;-0.0517;-0.0132;0.0209
0001143809;5.8897;-15.8568;2.0566;-0.0497;-0.0144;0.0149
0001143816;5.7461;-16.0172;2.0590;-0.0502;-0.0136;0.0136
0001143824;5.7916;-15.8185;1.9417;-0.0446;-0.0093;0.0071
0001143891;5.6934;-15.9478;2.0542;-0.0544;-0.0187;-0.0165
0001143899;5.7197;-16.0364;2.0135;-0.0617;-0.0145;-0.0197
0001143911;5.8083;-15.9861;2.0399;-0.0600;-0.0115;-0.0245
0001143919;5.6144;-16.1058;1.9968;-0.0493;-0.0145;-0.0302
0001143930;5.7748;-15.9262;2.1021;-0.0560;-0.0085;-0.0298
0001143938;5.8035;-16.0579;1.9561;-0.0502;-0.0115;-0.0386
0001143946;5.6814;-16.1369;2.0351;-0.0501;-0.0112;-0.0424
0001143958;5.6719;-16.0220;2.0351;-0.0564;-0.0071;-0.0458
0001143966;5.7102;-16.0866;1.9369;-0.0721;-0.0013;-0.0449
0001143977;5.8203;-15.9574;1.9249;-0.0763;-0.0005;-0.0562
0001143985;5.7078;-16.1465;1.9201;-0.0774;0.0005;-0.0504
0001143997;5.8538;-16.0244;1.9106;-0.0743;0.0033;-0.0508
0001144005;5.6767;-16.0890;1.9561;-0.0731;0.0120;-0.0474
0001144016;5.7892;-15.9310;1.9944;-0.0565;0.0037;-0.0545
0001144024;5.8107;-15.9741;1.9345;-0.0520;0.0061;-0.0497
0001144036;5.7844;-16.0005;1.9106;-0.0489;0.0049;-0.0557
0001144044;5.7772;-15.9550;1.9680;-0.0553;0.0093;-0.0549
0001144052;5.7006;-16.0531;1.8890;-0.0485;0.0031;-0.0663
0001144063;5.5330;-16.0268;2.0111;-0.0585;0.0081;-0.0624
0001144071;5.7078;-16.1010;1.9872;-0.0632;0.0008;-0.0636
0001144083;5.9400;-15.9358;1.9441;-0.0681;0.0084;-0.0566
0001144091;5.8682;-15.9430;2.0566;-0.0640;0.0085;-0.0536
0001144157;5.7509;-16.0340;2.0327;-0.0762;0.0147;-0.0586
0001144165;5.7245;-15.9981;1.9800;-0.0767;0.0107;-0.0674
0001144177;5.8035;-16.1441;1.9656;-0.0837;0.0131;-0.0600
0001144185;6.0071;-15.9526;1.9704;-0.0807;0.0105;-0.0645
0001144196;5.9209;-16.0435;1.9249;-0.0747;0.0056;-0.0645
0001144204;5.8155;-16.1249;2.0279;-0.0698;0.0073;-0.0617
