time;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
0000726569;5.8227;-16.0052;1.4772;0.0207;0.0258;-0.0209
0000726578;5.9113;-16.0842;1.5395;0.0109;0.0301;-0.0169
0000726585;5.9089;-15.9957;1.4988;0.0092;0.0308;-0.0197
0000726593;5.8562;-15.9861;1.4772;0.0115;0.0334;-0.0176
0000726602;5.6383;-16.1297;1.5299;0.0033;0.0286;-0.0191
0000726610;5.6479;-16.0627;1.6113;0.0107;0.0274;-0.0224
0000726622;5.9065;-15.9693;1.6041;0.0045;0.0230;-0.0226
0000726630;5.8012;-15.9645;1.4844;0.0040;0.0262;-0.0168
0000726638;6.0286;-15.9143;1.4748;-0.0048;0.0344;-0.0165
0000726649;6.0047;-15.8903;1.5323;-0.0031;0.0313;-0.0195
0000726657;5.9352;-15.8879;1.5467;-0.0060;0.0305;-0.0234
0000726669;5.8203;-16.0052;1.5012;-0.0059;0.0346;-0.0193
0000726677;5.7724;-16.0459;1.4988;-0.0080;0.0356;-0.0165
0000726688;5.7150;-16.0842;1.4988;-0.0091;0.0321;-0.0244
0000726696;5.7293;-16.0747;1.5275;-0.0051;0.0285;-0.0201
0000726708;5.8347;-16.0938;1.4102;-0.0064;0.0256;-0.0222
0000726716;5.9400;-16.0005;1.4605;-0.0079;0.0305;-0.0140
0000726724;5.7317;-16.1680;1.5419;-0.0087;0.0354;-0.0125
0000726735;5.7581;-16.0388;1.5083;-0.0048;0.0360;-0.0163
0000726743;5.9472;-15.9957;1.5490;-0.0075;0.0328;-0.0159
0000726811;5.8275;-16.1465;1.5467;-0.0008;0.0385;-0.0127
0000726819;5.7988;-16.0723;1.5874;-0.0061;0.0428;-0.0093
0000726830;5.9640;-15.9981;1.5131;0.0005;0.0432;-0.0148
0000726838;5.8179;-16.1728;1.6640;0.0047;0.0433;-0.0153
0000726850;5.9137;-16.1321;1.5395;0.0083;0.0456;-0.0144
0000726858;5.7317;-16.1297;1.5658;0.0128;0.0400;-0.0180
0000726869;5.8658;-15.9310;1.5107;0.0069;0.0401;-0.0199
0000726877;5.8371;-15.9478;1.5299;0.0033;0.0468;-0.0157
0000726885;6.0717;-15.9119;1.5897;0.0068;0.0474;-0.0196
0000726897;5.7796;-16.0412;1.4988;0.0065;0.0460;-0.0233
0000726905;5.7509;-16.0555;1.4988;0.0052;0.0505;-0.0208
0000726916;5.8634;-15.9023;1.5850;0.0073;0.0464;-0.0217
0000726924;5.7964;-15.9238;1.5945;0.0052;0.0508;-0.0153
