time;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
46005;6.1483;-16.0459;1.6352;0.1021;-0.1721;-0.1334
46018;6.1675;-16.3428;1.64;0.1216;-0.1512;-0.137
46027;6.1986;-16.532;1.5107;0.1348;-0.136;-0.1455
46039;6.0358;-16.5152;1.5682;0.1529;-0.112;-0.1641
46048;6.0621;-16.599;1.5921;0.1757;-0.1014;-0.1803
46061;6.2369;-16.3668;1.5874;0.1932;-0.0755;-0.1909
46070;6.3758;-16.3787;1.7071;0.1923;-0.0586;-0.1897
46082;6.4476;-16.1848;1.6185;0.1704;-0.029;-0.17
46091;6.6008;-16.0268;1.6376;0.146;-0.0163;-0.1569
46104;6.596;-16.0388;1.5467;0.1094;0.0157;-0.1276
46113;6.4715;-16.1321;1.6807;0.0865;0.0278;-0.1077
46122;6.3398;-16.192;1.7095;0.0758;0.0385;-0.0941
46134;6.1699;-16.1704;1.5275;0.0687;0.0529;-0.0727
46143;6.1699;-16.2878;1.6089;0.0749;0.0691;-0.0513
46156;6.0789;-16.3859;1.664;0.1065;0.083;-0.0405
46165;6.0454;-16.259;1.5682;0.1258;0.0978;-0.0308
46177;6.0023;-16.2518;1.664;0.1611;0.1174;-0.0354
46186;5.9951;-16.2111;1.7789;0.1813;0.1294;-0.0485
46255;5.7724;-15.9574;1.9297;0.111;0.1796;-0.1179
46264;5.7389;-16.0531;1.9561;0.111;0.1551;-0.1304
46273;5.6814;-16.1297;1.9944;0.1171;0.1452;-0.126
46285;5.8371;-16.2399;2.0853;0.1448;0.1203;-0.1247
46294;5.8371;-16.1202;2.0877;0.1563;0.1058;-0.1138
46307;5.5737;-16.1704;2.2984;0.1845;0.0771;-0.1047
46316;5.7365;-15.9597;2.332;0.1998;0.062;-0.0887
46328;5.7102;-15.8257;2.3032;0.2106;0.0341;-0.0697
46337;5.4468;-15.8592;2.3463;0.219;0.0169;-0.0482
46350;5.5186;-15.5599;2.4038;0.2164;-0.0151;-0.0159
46359;5.4348;-15.6533;2.4181;0.2073;-0.0237;0.0081
46368;5.3175;-15.7874;2.4253;0.214;-0.0484;0.0073
46380;5.6551;-15.6389;2.5307;0.2201;-0.0612;0.0081
46389;5.624;-15.7395;2.5187;0.2232;-0.0602;0.0027
46402;5.7796;-15.682;2.6073;0.2441;-0.0653;-0.0204
46411;5.7604;-15.6748;2.5809;0.2459;-0.0513;-0.0204
46423;5.9185;-15.3516;2.6647;0.2419;-0.0488;-0.028
46432;5.8012;-15.3373;2.7174;0.2357;-0.0598;-0.0318
46446;5.6838;-15.4187;2.6935;0.2141;-0.0725;-0.0232
46455;5.8754;-15.3013;2.6528;0.1988;-0.0743;-0.0133
46524;6.0717;-15.3804;2.7222;0.126;-0.0941;-0.0021
46533;5.6958;-15.536;2.6959;0.1139;-0.0839;0.0153
46542;5.849;-15.4402;2.9353;0.093;-0.0726;0.0338
46554;5.8682;-15.536;3.0143;0.0947;-0.0576;0.0414
46563;5.9472;-15.4929;3.0765;0.0966;-0.0294;0.0498
46576;6.1627;-15.445;3.2801;0.1266;0.0119;0.0312
46585;6.043;-15.6174;3.3208;0.1535;0.047;0.0069
46597;6.1938;-15.4689;3.5051;0.1807;0.1039;-0.031
46606;5.8299;-15.3732;3.5458;0.1936;0.151;-0.0461
46619;5.7509;-15.2918;3.45;0.2114;0.1887;-0.0721
46628;5.6168;-15.275;3.4381;0.2168;0.2145;-0.0713
46637;5.3917;-15.2654;3.6583;0.2192;0.2216;-0.0617
46649;5.0996;-15.1864;3.5003;0.2261;0.236;-0.042
46658;5.0159;-15.4354;3.6248;0.231;0.2225;-0.0276
46671;4.9105;-15.4881;3.5338;0.2086;0.2094;0.0053
46680;4.5681;-15.4474;3.3088;0.1884;0.1985;0.027
46692;4.8985;-15.3109;3.2729;0.1565;0.1744;0.0504
46701;4.6902;-15.2966;3.1173;0.1215;0.17;0.0685
46710;4.9728;-15.2559;2.9137;0.0905;0.1508;0.0781
46723;5.1116;-15.6389;2.885;0.0509;0.1291;0.1021
46732;5.1571;-15.8807;2.8252;0.033;0.1194;0.1252
46744;5.1619;-16.18;2.8539;0.0277;0.1135;0.1487
46753;5.3175;-16.283;3.0047;0.0344;0.1242;0.1668
46822;5.3798;-15.5479;2.9856;0.1458;0.2333;0.0677
46831;5.2577;-15.4737;2.9616;0.1483;0.2278;0.0584
46843;4.9392;-15.4378;2.8299;0.1307;0.2092;0.0601
46852;4.6519;-15.3684;2.8946;0.1234;0.1875;0.0657
46861;4.525;-15.4163;2.9353;0.123;0.1535;0.0738
46874;4.5179;-15.3756;2.909;0.1164;0.1071;0.0999
46883;4.2042;-15.5767;2.8252;0.1108;0.0596;0.1112
46895;4.2329;-15.536;2.6552;0.0983;0.0015;0.1311
46904;4.2186;-15.5623;2.6073;0.0895;-0.0416;0.1366
46917;4.4341;-15.4641;2.6025;0.0794;-0.1023;0.1348
46926;4.4005;-15.6485;2.6767;0.0715;-0.134;0.1255
46938;4.8554;-15.4953;2.5738;0.0645;-0.1719;0.1128
46947;4.7621;-15.6317;2.5331;0.0517;-0.1857;0.1061
46956;4.9823;-15.5049;2.4469;0.0461;-0.2088;0.0898
46969;5.0278;-15.3157;2.3607;0.0265;-0.2289;0.081
46978;5.0254;-15.3085;2.3463;0.0035;-0.2462;0.0751
46990;5.0877;-15.117;2.2218;-0.0316;-0.2671;0.0849
46999;4.8602;-15.0691;2.2218;-0.0598;-0.2777;0.1057
