time;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
0003558165;5.8371;2.2601;-0.3567;-0.0617;-0.4008;-0.4130
0003558174;5.4708;2.0590;-0.3352;0.0087;-0.3656;-0.4744
0003558182;5.6503;2.0375;-0.3400;0.0478;-0.3535;-0.5287
0003558190;5.7964;1.7957;-0.4597;0.0629;-0.3535;-0.5802
0003558199;5.9017;1.3168;-0.5770;0.0466;-0.3641;-0.6348
0003558207;6.4715;1.1636;-0.4046;0.0075;-0.3805;-0.6675
0003558218;7.0485;0.8092;-0.0886;-0.0833;-0.4013;-0.6712
0003558226;7.3454;0.3352;-0.0359;-0.1659;-0.4247;-0.6563
0003558234;7.5944;0.3567;-0.0048;-0.2777;-0.4423;-0.6154
0003558245;7.8817;0.0575;0.2658;-0.4574;-0.4943;-0.5349
0003558253;7.8697;-0.1820;0.5578;-0.6102;-0.5287;-0.4694
0003558264;8.2145;-0.2634;1.1420;-0.7933;-0.5698;-0.3359
0003558272;7.8458;-0.4525;1.4054;-0.8849;-0.5877;-0.2361
0003558283;7.3215;-0.5315;1.5347;-0.9920;-0.6027;-0.1206
0003558291;6.6870;-0.2466;1.6568;-1.0801;-0.6079;-0.0448
0003558302;5.6407;0.0000;1.7573;-1.2083;-0.5885;0.0405
0003558310;4.8842;0.1197;1.5778;-1.2851;-0.5510;0.0899
0003558318;5.1475;0.4022;1.3024;-1.3118;-0.5025;0.0973
0003558372;4.8267;2.3846;0.9481;-1.0710;-0.0737;-0.1531
0003558380;4.8147;2.4517;0.8930;-1.0062;-0.0393;-0.1779
0003558391;5.0278;2.6360;0.9361;-0.9309;0.0083;-0.2261
0003558399;4.9129;2.7653;1.0606;-0.9004;0.0328;-0.2725
0003558410;5.0853;2.9808;1.1516;-0.8652;0.0642;-0.3212
0003558418;5.3750;3.0718;1.1349;-0.8272;0.0799;-0.3597
0003558429;6.0645;3.1173;1.1372;-0.7580;0.0870;-0.4116
0003558437;6.3734;3.0263;0.9792;-0.6860;0.0903;-0.4241
0003558445;6.8474;2.9664;1.0918;-0.6078;0.0985;-0.4311
0003558456;7.3167;2.6911;1.0487;-0.4838;0.0882;-0.4072
0003558464;7.2544;2.3822;1.2809;-0.3928;0.0695;-0.3841
0003558475;7.2808;1.9896;1.3551;-0.2912;0.0480;-0.3277
0003558483;7.1491;1.6209;1.4772;-0.2389;0.0452;-0.2900
0003558494;6.3901;1.1851;1.2258;-0.2037;0.0542;-0.2453
0003558502;5.7126;0.8356;1.1779;-0.2152;0.0638;-0.2332
0003558510;5.4468;0.9888;0.7590;-0.2543;0.0741;-0.2344
0003558521;5.4037;1.0391;0.4597;-0.3304;0.0722;-0.2955
0003558529;5.4899;1.0558;0.4836;-0.3805;0.0835;-0.3479
0003558540;6.0358;1.3647;0.9792;-0.4100;0.1081;-0.4223
0003558548;6.2249;1.7885;1.1923;-0.4139;0.1160;-0.4755
0003558559;6.6367;2.3511;1.4054;-0.3972;0.1286;-0.5061
0003558567;6.8187;2.5187;1.5443;-0.3673;0.1348;-0.5123
0003558621;5.8299;1.8435;1.7717;0.0593;0.1366;-0.2102
0003558629;5.6862;1.2761;1.7909;0.0754;0.1240;-0.1637
0003558637;5.6934;1.0822;1.8938;0.0853;0.1128;-0.1079
0003558648;5.8203;0.8715;1.6783;0.0826;0.0671;-0.0494
0003558656;5.8562;0.5818;1.7741;0.0633;0.0349;-0.0270
0003558667;6.2393;0.2538;1.5874;0.0316;-0.0169;-0.0296
0003558675;6.4907;0.2011;1.5706;0.0175;-0.0529;-0.0326
0003558686;6.5601;-0.0455;1.5874;0.0003;-0.0987;-0.0586
0003558694;6.7229;-0.1245;1.5586;-0.0111;-0.1199;-0.0710
0003558702;6.9528;-0.2801;1.1923;-0.0045;-0.1238;-0.0624
0003558713;7.2496;-0.3112;0.2251;-0.0522;-0.0282;0.0558
0003558721;6.8857;0.2203;-0.7614;-0.1885;0.1150;0.1663
0003558732;4.9536;1.1899;-0.9290;-0.6638;0.3295;0.3276
