time;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
0000466544;11.7914;-19.5606;-8.2815;0.2811;0.9491;0.7072
0000466553;11.8657;-19.7306;-8.7987;0.0636;0.7831;0.6562
0000466561;10.7284;-19.3619;-8.3199;-0.2118;0.6819;0.5002
0000466569;9.3853;-18.4282;-7.5082;-0.4868;0.6291;0.3138
0000466577;8.2361;-17.0300;-6.5362;-0.6953;0.6348;0.1585
0000466585;7.0246;-15.4929;-5.6551;-0.8063;0.6763;0.0754
0000466593;5.8586;-14.3101;-4.8818;-0.7903;0.7257;0.0597
0000466601;4.9368;-13.3525;-4.2713;-0.6988;0.7886;0.0946
0000466609;4.1875;-12.6079;-3.9816;-0.5624;0.8458;0.1528
0000466617;3.6943;-12.3254;-3.8403;-0.4000;0.9009;0.2389
0000466625;3.7302;-12.2918;-3.8140;-0.2414;0.9722;0.3461
0000466633;4.3048;-12.3828;-3.8020;-0.0649;1.0409;0.4439
0000466641;4.9297;-12.9981;-3.9696;0.1183;1.1060;0.5450
0000466649;5.5426;-13.7331;-4.4388;0.2711;1.1684;0.6238
0000466657;6.1196;-14.3365;-5.0422;0.3679;1.2164;0.6781
0000466665;6.9001;-14.7674;-5.7102;0.3882;1.2513;0.6997
0000466673;7.6088;-15.2343;-6.2010;0.3391;1.2776;0.7071
0000466681;7.8841;-15.6700;-6.6224;0.2224;1.3014;0.7029
0000466689;8.2887;-15.7634;-6.6774;0.0887;1.3047;0.6915
0000466697;8.0254;-15.9669;-6.4572;-0.0452;1.3061;0.6779
0000466705;7.7213;-15.8760;-6.2225;-0.1502;1.3039;0.6608
0000466713;7.3813;-15.4665;-5.9161;-0.2346;1.3119;0.6618
0000466721;6.8809;-15.1553;-5.7293;-0.2789;1.3193;0.6668
0000466729;6.7780;-14.7507;-5.4277;-0.2958;1.3355;0.6887
0000466737;6.5625;-14.6621;-5.2696;-0.2767;1.3666;0.7316
0000466745;6.6391;-14.5472;-5.1404;-0.2364;1.4121;0.7806
0000466753;6.7086;-14.4921;-5.2648;-0.1904;1.4603;0.8346
0000466761;6.7445;-14.5400;-5.3846;-0.1565;1.5104;0.8872
0000466769;6.9097;-14.5496;-5.4708;-0.1267;1.5577;0.9427
0000466777;6.7373;-14.7052;-5.5258;-0.1204;1.5982;1.0054
0000466785;6.6511;-14.8560;-5.4899;-0.1396;1.6393;1.0772
0000466793;6.4021;-15.1194;-5.3558;-0.1677;1.6735;1.1391
0000466801;6.1339;-15.3540;-5.3534;-0.2049;1.7031;1.2032
0000466809;6.3470;-15.2798;-5.2098;-0.2392;1.7277;1.2636
0000466817;6.4332;-15.3157;-5.1404;-0.2637;1.7459;1.3078
0000466825;6.8354;-15.2918;-4.9344;-0.2907;1.7721;1.3560
0000466833;7.0725;-15.1960;-4.8291;-0.3000;1.7912;1.3924
0000466841;7.4747;-15.0954;-4.6998;-0.3044;1.8081;1.4253
0000466849;7.6351;-14.9326;-4.6807;-0.2968;1.8109;1.4532
0000466857;7.7955;-14.8249;-4.6328;-0.2871;1.8231;1.4737
0000466865;7.7045;-14.8656;-4.6950;-0.2662;1.8406;1.4798
