time;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
0001345726;7.7572;-15.4546;-3.4093;-0.0645;-0.1095;0.0634
0001345735;7.8099;-15.4187;-3.1867;-0.0689;-0.0898;0.0509
0001345743;7.3287;-15.8544;-3.1125;-0.0925;-0.0632;0.0502
0001345751;7.3167;-15.8664;-3.0670;-0.1014;-0.0381;0.0436
0001345759;7.5872;-15.5264;-3.1771;-0.0983;-0.0140;0.0448
0001345767;7.4053;-15.5863;-3.3567;-0.0987;0.0169;0.0537
0001345775;7.4962;-15.4809;-3.3734;-0.0885;0.0336;0.0573
0001345783;7.6686;-15.2463;-3.5051;-0.0807;0.0621;0.0609
0001345791;7.6160;-15.3444;-3.5554;-0.0663;0.0755;0.0565
0001345799;7.8027;-15.2942;-3.5219;-0.0554;0.0907;0.0532
0001345807;7.8530;-15.4689;-3.4788;-0.0384;0.0987;0.0425
0001345815;7.8219;-15.6509;-3.5578;-0.0200;0.0967;0.0292
0001345823;7.9727;-15.9047;-3.4884;-0.0181;0.1087;0.0262
0001345831;7.7907;-15.9645;-3.5985;-0.0244;0.1011;0.0184
0001345839;7.9272;-16.0986;-3.4524;-0.0446;0.1061;0.0145
0001345847;7.9871;-15.8999;-3.4740;-0.0655;0.0925;-0.0021
0001345855;7.6950;-16.0819;-3.4165;-0.0805;0.0871;-0.0036
0001345863;7.8817;-15.8712;-3.3447;-0.0818;0.0778;-0.0099
0001345871;7.9416;-15.5240;-3.4524;-0.0805;0.0730;-0.0080
0001345879;7.9033;-15.7586;-3.3902;-0.0729;0.0590;-0.0132
0001345887;7.9966;-15.5527;-3.4333;-0.0504;0.0525;-0.0203
0001345895;8.0589;-15.3013;-3.4333;-0.0430;0.0449;-0.0241
0001345903;7.9942;-15.3947;-3.5698;-0.0422;0.0268;-0.0282
0001345911;7.9918;-15.6629;-3.4046;-0.0365;0.0099;-0.0318
0001345919;7.9966;-15.5360;-3.5171;-0.0358;0.0036;-0.0293
0001345927;8.0254;-15.4594;-3.5386;-0.0377;-0.0052;-0.0282
0001345935;8.0158;-15.5551;-3.5003;-0.0314;-0.0257;-0.0361
0001345943;8.0278;-15.5886;-3.5578;-0.0321;-0.0292;-0.0329
0001345951;7.8650;-15.8664;-3.5195;-0.0276;-0.0461;-0.0388
0001345959;7.9511;-15.7682;-3.4405;-0.0330;-0.0501;-0.0346
0001345967;7.9464;-15.8281;-3.4955;-0.0382;-0.0564;-0.0428
0001345975;7.9751;-15.8640;-3.4596;-0.0341;-0.0661;-0.0488
0001345983;7.9057;-15.7993;-3.5314;-0.0406;-0.0691;-0.0472
0001345991;7.9775;-15.8592;-3.5314;-0.0342;-0.0725;-0.0496
0001345999;7.8219;-15.9358;-3.4764;-0.0390;-0.0711;-0.0496
0001346007;7.9847;-15.8831;-3.4955;-0.0368;-0.0795;-0.0592
0001346015;7.8027;-15.8783;-3.4955;-0.0472;-0.0682;-0.0564
0001346023;7.7548;-15.9167;-3.4764;-0.0520;-0.0718;-0.0674
0001346031;7.7189;-15.8305;-3.3375;-0.0570;-0.0673;-0.0654
0001346039;7.7788;-15.5839;-3.4165;-0.0580;-0.0671;-0.0605
0001346047;7.6950;-15.6150;-3.3902;-0.0528;-0.0617;-0.0581
0001346055;7.6591;-15.5312;-3.4141;-0.0518;-0.0561;-0.0538
0001346063;7.6351;-15.3492;-3.4093;-0.0401;-0.0518;-0.0504
0001346071;7.7883;-15.2678;-3.4812;-0.0340;-0.0418;-0.0390
0001346079;7.4244;-15.3756;-3.4381;-0.0165;-0.0365;-0.0382
0001346087;7.4388;-15.4665;-3.5338;0.0077;-0.0306;-0.0329
0001346095;7.2832;-15.5479;-3.4836;0.0176;-0.0141;-0.0316
0001346103;7.5034;-15.6126;-3.5291;0.0290;0.0023;-0.0199
0001346111;7.4005;-15.7347;-3.5506;0.0285;0.0201;-0.0236
0001346119;7.3526;-15.7395;-3.5985;0.0333;0.0285;-0.0265
0001346127;7.4268;-15.9430;-3.6176;0.0200;0.0454;-0.0164
0001346135;7.4603;-15.8041;-3.5985;0.0096;0.0637;-0.0145
0001346143;7.6758;-15.6892;-3.6943;0.0053;0.0733;-0.0116
0001346151;7.6088;-15.6653;-3.6799;-0.0023;0.0882;0.0045
0001346159;7.4699;-15.6461;-3.6081;-0.0041;0.1043;0.0083
0001346167;7.4986;-15.5312;-3.6392;-0.0063;0.1118;0.0105
0001346175;7.7309;-15.4522;-3.5243;-0.0020;0.1151;0.0101
0001346183;7.6279;-15.4378;-3.5793;0.0013;0.1235;0.0160
0001346191;7.6279;-15.3947;-3.6344;0.0036;0.1347;0.0222
0001346199;7.6567;-15.2726;-3.7014;0.0173;0.1379;0.0165
0001346207;7.6016;-15.5551;-3.7182;0.0272;0.1416;0.0222
0001346215;7.6662;-15.4929;-3.6703;0.0329;0.1436;0.0184
0001346223;7.7859;-15.5432;-3.6655;0.0353;0.1432;0.0260
0001346231;7.8602;-15.5288;-3.6727;0.0381;0.1407;0.0216
0001346239;7.7405;-15.7179;-3.6105;0.0356;0.1320;0.0173
0001346247;7.7285;-15.8017;-3.6655;0.0281;0.1296;0.0192
0001346255;7.8721;-15.8257;-3.6943;0.0143;0.1218;0.0137
0001346263;7.7405;-15.7850;-3.5745;0.0120;0.1094;0.0051
0001346271;7.8099;-15.7467;-3.6871;0.0003;0.1046;0.0068
0001346279;7.7907;-15.6341;-3.6033;-0.0045;0.0987;0.0043
0001346300;7.8195;-15.5719;-3.6224;-0.0009;0.0634;-0.0105
0001346308;7.7476;-15.6341;-3.6823;0.0015;0.0550;-0.0199
0001346316;7.6854;-15.6772;-3.5961;0.0093;0.0421;-0.0204
0001346324;7.8458;-15.5168;-3.6081;0.0016;0.0357;-0.0175
0001346332;7.9009;-15.5934;-3.5123;0.0039;0.0253;-0.0204
0001346340;7.7644;-15.4641;-3.5650;0.0088;0.0141;-0.0294
0001346348;7.8386;-15.5551;-3.6799;0.0080;0.0109;-0.0238
0001346356;7.6638;-15.6653;-3.6966;0.0072;0.0036;-0.0257
0001346364;7.6543;-15.7898;-3.6081;0.0023;-0.0028;-0.0222
0001346372;7.6351;-15.7203;-3.5291;0.0001;-0.0068;-0.0229
0001346380;7.7069;-15.6724;-3.6248;0.0029;-0.0139;-0.0229
0001346388;7.8338;-15.6581;-3.7110;0.0001;-0.0125;-0.0149
0001346396;7.8171;-15.5958;-3.7302;-0.0068;-0.0096;-0.0093
0001346404;7.6471;-15.6724;-3.7110;-0.0073;-0.0060;-0.0109
0001346412;7.5633;-15.7012;-3.7709;-0.0084;-0.0132;-0.0144
0001346420;7.5705;-15.6940;-3.7350;-0.0133;-0.0137;-0.0083
0001346428;7.5393;-15.7682;-3.7206;-0.0187;-0.0079;-0.0041
0001346436;7.6830;-15.5264;-3.7086;-0.0155;-0.0133;-0.0120
0001346444;7.6662;-15.6653;-3.6727;-0.0079;-0.0113;-0.0083
0001346452;7.8171;-15.4737;-3.6799;-0.0100;-0.0120;-0.0135
0001346460;7.7620;-15.5839;-3.6775;-0.0007;-0.0129;-0.0125
0001346468;7.7189;-15.4809;-3.6392;-0.0048;-0.0117;-0.0107
0001346476;7.6231;-15.6054;-3.7876;-0.0040;-0.0115;-0.0056
0001346484;7.7213;-15.5982;-3.6464;-0.0076;-0.0105;0.0027
0001346492;7.7285;-15.6341;-3.5410;-0.0011;-0.0203;0.0003
0001346500;7.7021;-15.6317;-3.5075;-0.0097;-0.0120;0.0088
0001346508;7.7907;-15.6772;-3.5745;-0.0104;-0.0156;0.0068
0001346516;7.7045;-15.7610;-3.6009;-0.0193;-0.0167;0.0061
0001346524;7.7357;-15.8089;-3.6823;-0.0229;-0.0205;0.0024
0001346532;7.6974;-15.7131;-3.6392;-0.0358;-0.0147;0.0068
0001346540;7.6662;-15.6437;-3.5147;-0.0381;-0.0160;0.0053
0001346548;7.7285;-15.6700;-3.5650;-0.0402;-0.0121;0.0019
0001346556;7.7165;-15.6892;-3.6847;-0.0370;-0.0184;0.0024
0001346564;7.7572;-15.6796;-3.6751;-0.0453;-0.0091;0.0032
0001346572;7.5681;-15.8568;-3.6152;-0.0533;-0.0133;0.0012
0001346580;7.5872;-15.8616;-3.6679;-0.0512;-0.0143;-0.0020
0001346588;7.6399;-15.9286;-3.6392;-0.0570;-0.0029;-0.0020
0001346596;7.5489;-15.8616;-3.7517;-0.0537;0.0007;0.0044
0001346604;7.7357;-15.7993;-3.7996;-0.0577;-0.0031;0.0037
0001346612;7.7165;-15.6772;-3.7972;-0.0596;0.0065;0.0067
0001346620;7.7357;-15.6102;-3.7517;-0.0683;0.0165;0.0089
0001346628;7.8817;-15.4881;-3.7493;-0.0620;0.0144;0.0059
0001346636;7.7979;-15.5743;-3.7302;-0.0626;0.0217;0.0111
0001346644;7.7309;-15.6389;-3.6871;-0.0593;0.0222;0.0093
