time;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
0000221899;5.1906;3.1029;-2.2865;-0.0041;-0.1484;-0.0024
0000221908;5.1834;3.0095;-2.3846;-0.0001;-0.1454;-0.0039
0000221916;5.3630;3.1029;-2.3583;0.0095;-0.1545;-0.0075
0000221924;5.2625;3.1149;-2.3870;0.0132;-0.1549;0.0016
0000221933;5.3750;3.1891;-2.4301;0.0213;-0.1640;0.0005
0000221941;5.1834;3.0071;-2.4828;0.0220;-0.1604;0.0103
0000221952;5.1020;2.8706;-2.3918;0.0325;-0.1679;0.0019
0000221960;5.0996;3.0430;-2.3798;0.0333;-0.1644;0.0065
0000221968;5.1020;2.9497;-2.4660;0.0286;-0.1595;0.0075
0000221979;5.0829;2.8228;-2.4565;0.0320;-0.1619;0.0060
0000221987;5.1475;2.9377;-2.4086;0.0390;-0.1612;0.0057
0000221998;5.1068;2.8730;-2.4397;0.0410;-0.1556;0.0091
0000222006;5.2553;2.9760;-2.3966;0.0386;-0.1576;0.0111
0000222017;5.0422;2.7677;-2.3535;0.0328;-0.1551;0.0047
0000222025;5.0949;2.9473;-2.3703;0.0294;-0.1466;0.0067
0000222033;5.1284;2.9928;-2.3607;0.0357;-0.1503;0.0029
0000222087;5.0925;2.9066;-2.4612;0.0445;-0.1063;-0.0028
0000222095;5.1140;2.7892;-2.4110;0.0382;-0.0907;-0.0017
0000222106;5.1188;2.8946;-2.3320;0.0278;-0.0746;-0.0016
0000222114;5.0901;2.9066;-2.4924;0.0337;-0.0750;-0.0083
0000222125;5.1140;2.9042;-2.4373;0.0333;-0.0675;-0.0109
0000222133;5.2194;3.0095;-2.4445;0.0368;-0.0592;-0.0105
0000222144;5.2098;3.1316;-2.4756;0.0350;-0.0614;-0.0155
0000222152;5.0996;2.8587;-2.4972;0.0368;-0.0590;-0.0143
0000222160;5.1643;2.9760;-2.4756;0.0370;-0.0473;-0.0111
0000222171;5.1140;3.0215;-2.4900;0.0418;-0.0494;-0.0111
0000222179;5.3127;3.0957;-2.5474;0.0400;-0.0424;-0.0084
0000222190;5.2960;3.0023;-2.5163;0.0364;-0.0422;-0.0160
0000222198;5.2888;3.0143;-2.4780;0.0450;-0.0429;-0.0163
0000222209;5.2720;2.8515;-2.4277;0.0369;-0.0370;-0.0108
0000222217;5.1906;2.7438;-2.4565;0.0333;-0.0320;-0.0120
0000222228;5.2409;2.8323;-2.5522;0.0285;-0.0344;-0.0113
0000222236;5.3223;3.0071;-2.4660;0.0249;-0.0401;-0.0163
0000222244;5.4899;3.1388;-2.5235;0.0330;-0.0454;-0.0173
0000222255;5.4947;3.2226;-2.4612;0.0428;-0.0442;-0.0152
0000222263;5.2146;3.0167;-2.4062;0.0486;-0.0429;-0.0100
0000222274;5.2816;3.1508;-2.4181;0.0562;-0.0426;-0.0044
0000222282;5.3463;3.0765;-2.3679;0.0561;-0.0464;-0.0071
0000222336;4.9943;2.8826;-2.4780;0.0494;-0.0273;0.0065
0000222344;5.0805;2.8683;-2.4588;0.0533;-0.0254;0.0065
0000222355;5.1332;2.9042;-2.3703;0.0564;-0.0229;0.0079
0000222363;5.1380;2.8778;-2.3391;0.0501;-0.0159;0.0076
0000222371;5.2313;2.9377;-2.4277;0.0544;-0.0217;0.0031
0000222382;5.2553;2.9832;-2.4660;0.0500;-0.0167;-0.0015
0000222390;5.2122;2.9784;-2.4756;0.0517;-0.0215;-0.0036
0000222401;5.3750;3.0765;-2.4924;0.0564;-0.0169;-0.0087
0000222409;5.1906;2.8898;-2.3870;0.0564;-0.0151;-0.0007
0000222420;5.2002;3.0167;-2.5043;0.0584;-0.0180;-0.0041
0000222428;5.0542;2.9473;-2.3679;0.0522;-0.0061;0.0032
0000222439;5.1691;2.8563;-2.3774;0.0529;-0.0144;-0.0001
0000222447;5.0733;2.8778;-2.4708;0.0504;-0.0128;-0.0055
0000222455;5.0589;2.8515;-2.4421;0.0516;-0.0187;0.0033
0000222466;5.3008;2.9568;-2.3535;0.0500;-0.0222;-0.0025
0000222474;5.1787;2.9568;-2.4684;0.0452;-0.0304;-0.0068
0000222485;5.1547;2.7821;-2.4253;0.0437;-0.0302;-0.0021
0000222493;5.1475;2.9616;-2.4445;0.0496;-0.0297;-0.0072
0000222504;5.1787;2.9880;-2.3727;0.0486;-0.0294;-0.0059
0000222512;5.2672;3.1723;-2.4828;0.0493;-0.0266;-0.0039
0000222523;5.1284;3.0718;-2.4086;0.0506;-0.0272;0.0024
0000222531;5.2337;3.1029;-2.4828;0.0553;-0.0277;0.0004
0000222539;5.0518;2.8802;-2.3463;0.0493;-0.0264;0.0001
0000222593;5.1140;3.0287;-2.5379;0.0703;-0.0420;-0.0088
0000222601;5.1643;2.8180;-2.5163;0.0663;-0.0388;-0.0051
0000222612;5.1188;2.8204;-2.4517;0.0665;-0.0436;-0.0085
0000222620;5.1858;2.8539;-2.4469;0.0530;-0.0409;-0.0023
0000222631;5.2505;2.9640;-2.4014;0.0614;-0.0550;-0.0093
0000222639;5.2768;2.9281;-2.4517;0.0614;-0.0586;0.0021
0000222650;5.2194;3.1699;-2.3415;0.0520;-0.0612;-0.0003
0000222658;5.0637;2.7845;-2.6336;0.0506;-0.0754;-0.0008
0000222666;5.2792;2.9856;-2.4972;0.0544;-0.0802;-0.0012
0000222677;5.1787;3.1125;-2.5809;0.0533;-0.0851;0.0037
